Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
DESP,"Despegar.com, Corp.",19.78,$1.37B,2017,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/desp,#VALUE!
DIN,"Dine Brands Global, Inc.",76.49,$1.37B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/din,#VALUE!
HLX,"Helix Energy Solutions Group, Inc.",9.22,$1.37B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/hlx,#VALUE!
NE,Noble Corporation,5.57,$1.37B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ne,#VALUE!
NEW,Puxin Limited,14.67,$1.37B,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/new,#VALUE!
SJW,SJW Group,66.75,$1.37B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/sjw,#VALUE!
BSIG,BrightSphere Investment Group plc,12.68,$1.38B,2014,Finance,Investment Managers,https://www.nasdaq.com/symbol/bsig,#VALUE!
MYOV,Myovant Sciences Ltd.,21.33,$1.38B,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/myov,#VALUE!
RVT,"Royce Value Trust, Inc.",16.22,$1.38B,1986,n/a,n/a,https://www.nasdaq.com/symbol/rvt,#VALUE!
SYX,Systemax Inc.,37.16,$1.38B,n/a,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/syx,#VALUE!
TNC,Tennant Company,76.6,$1.38B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tnc,#VALUE!
KEM,Kemet Corporation,24.29,$1.39B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem,#VALUE!
MCRN,Milacron Holdings Corp.,19.71,$1.39B,2015,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mcrn,#VALUE!
WAIR,"Wesco Aircraft Holdings, Inc.",13.95,$1.39B,2011,Capital Goods,Wholesale Distributors,https://www.nasdaq.com/symbol/wair,#VALUE!
BTZ,BlackRock Credit Allocation Income Trust,12.19,$1.3B,2006,n/a,n/a,https://www.nasdaq.com/symbol/btz,#VALUE!
